# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 13:31:29 2024
#
# User preference: *
#
# CONSTRAINT:  order by plntname asc
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
55 Cnc e,1.3001,0.0200,0.032800,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.3203,0.0203,0.035100,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.3407,0.0207,0.034800,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.3615,0.0209,0.032700,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.3827,0.0213,0.033800,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.4041,0.0216,0.036300,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.4258,0.0219,0.039100,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.4480,0.0223,0.036500,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.4704,0.0226,0.034800,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.4932,0.0230,0.039400,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
